"data_year","campus_number","zip","school_type","district_name","county_grad_rt","campus_grad_rt"
2019,227901017,78748,"Public","Austin ISD",0.904,0.964
2019,227904004,78660,"Public","Pflugerville ISD",0.904,0.978
2019,227901015,78702,"Public","Austin ISD",0.904,0.341
2019,227901002,78703,"Public","Austin ISD",0.904,0.984
2019,227901008,78745,"Public","Austin ISD",0.904,0.967
2019,227816002,78660,"Charter","Harmony Science Academy (Austin)",0.904,1
2019,227901025,78704,"Public","Austin ISD",0.904,0.636
2019,227904003,78753,"Public","Pflugerville ISD",0.904,0.966
2019,227912001,78645,"Public","Lago Vista ISD",0.904,0.967
2019,227913001,78738,"Public","Lake Travis ISD",0.904,0.953
2019,227820001,78754,"Charter","Kipp Texas Public Schools",0.904,0.967
2019,227806043,78705,"Charter","University Of Texas University Cha",0.904,0.688
2019,227901018,78721,"Public","Austin ISD",0.904,1
2019,227814001,78727,"Charter","Chaparral Star Academy",0.904,0.906
2019,227909001,78746,"Public","Eanes ISD",0.904,0.998
2019,227803001,78747,"Charter","Wayside Schools",0.904,0.909
2019,227901006,78752,"Public","Austin ISD",0.904,0.986
2019,227816004,78717,"Charter","Harmony Science Academy (Austin)",0.904,0.909
2019,227901026,78758,"Public","Austin ISD",0.904,0.548
2019,227910002,78617,"Public","Del Valle ISD",0.904,0.796
2019,227910001,78617,"Public","Del Valle ISD",0.904,0.965
2019,227901014,78724,"Public","Austin ISD",0.904,0.909
2019,227901019,78721,"Public","Austin ISD",0.904,0.927
2019,227901009,78759,"Public","Austin ISD",0.904,0.978
2019,227816101,78744,"Charter","Harmony Science Academy (Austin)",0.904,0.949
2019,227901004,78758,"Public","Austin ISD",0.904,0.966
2019,227804101,78753,"Charter","Nyos Charter School",0.904,0.944
2019,227907004,78653,"Public","Manor ISD",0.904,1
2019,227827001,78741,"Charter","The Excel Center (For Adults)",0.904,0.323
2019,227901013,78749,"Public","Austin ISD",0.904,0.981
2019,227901007,78704,"Public","Austin ISD",0.904,0.929
2019,227907001,78653,"Public","Manor ISD",0.904,0.883
2019,227824002,78721,"Charter","Promesa Public Schools",0.904,0.949
2019,227901005,78756,"Public","Austin ISD",0.904,0.966
2019,227904001,78660,"Public","Pflugerville ISD",0.904,0.955
2019,227901028,78704,"Public","Austin ISD",0.904,1
2019,227907002,78653,"Public","Manor ISD",0.904,0.576
